Rank,Method,Name,Files,Segments,Feature_Shape,Extraction_Time,Best_Silhouette,K3_Silhouette,K4_Silhouette,K5_Silhouette,Timestamp
1,D1,Seg_HighPass_Bandpass,29,89,89x768,28.1s,0.2667006856261322,0.25629939081040887,0.2438391628268201,0.2667006856261322,2025-09-20T10:51:28.925403
2,C1,Seg_Bandpass,29,89,89x768,28.3s,0.2666031144158277,0.25624493748995814,0.24373988239923103,0.2666031144158277,2025-09-20T10:47:23.584806
3,C4,Seg_PeakNormalize,29,89,89x768,28.4s,0.26041708312982126,0.26041708312982126,0.23630367522241733,0.250031318636404,2025-09-20T10:49:38.507400
4,C0,Seg_NoPre,29,89,89x768,27.8s,0.25969178884305794,0.25969178884305794,0.23531859399212252,0.19707923748021572,2025-09-20T10:46:35.433100
5,B1,NoSeg_PeakNormalize_Bandpass,29,29,29x768,9.5s,0.24925298744807706,0.24925298744807706,0.238081160685874,0.23228812086525294,2025-09-20T10:45:12.157190
6,A1,NoSeg_Bandpass,29,29,29x768,9.4s,0.2492227786675827,0.2492227786675827,0.23793534053224724,0.23214371132177586,2025-09-20T10:42:41.215354
7,B2,NoSeg_FullPipeline,29,29,29x768,9.2s,0.23060922099616024,0.215757019001711,0.23060922099616024,0.16113373017388077,2025-09-20T10:45:39.944605
8,B0,NoSeg_Bandpass_SpectralGating,29,29,29x768,9.5s,0.23051600091273905,0.21554470832288916,0.23051600091273905,0.22770951993938784,2025-09-20T10:44:45.806934
9,D0,Seg_HighPass_PeakNormalize,29,89,89x768,29.5s,0.2213102572932019,0.14398253946879574,0.2213102572932019,0.1776153394786324,2025-09-20T10:50:46.215868
10,C3,Seg_HighPass,29,89,89x768,29.0s,0.22128718728542618,0.14399531480387054,0.22128718728542618,0.17789139075755497,2025-09-20T10:48:56.497173
11,D2,Seg_FullPipeline,29,87,87x768,28.7s,0.21567693732493912,0.21567693732493912,0.19911695312113956,0.18612254762102798,2025-09-20T10:52:14.507549
12,A2,NoSeg_SpectralGating,29,29,29x768,9.2s,0.19721962508002622,0.19721962508002622,0.17211483764985516,0.13466817682698987,2025-09-20T10:43:09.316336
13,A3,NoSeg_HighPass,29,29,29x768,9.1s,0.19719034568083774,0.1811609410831732,0.19719034568083774,0.15904831241436848,2025-09-20T10:43:34.428335
14,A4,NoSeg_PeakNormalize,29,29,29x768,9.2s,0.1958722782257839,0.18107091409476728,0.1958722782257839,0.1596757075080122,2025-09-20T10:43:59.364644
15,A0,NoSeg_NoPre,29,29,29x768,9.3s,0.19585993933254653,0.18109192450623493,0.19585993933254653,0.15965241692790047,2025-09-20T10:42:13.396232
16,C2,Seg_SpectralGating,29,87,87x768,27.9s,0.19337314250685123,0.1566503070024649,0.1789093303102456,0.19337314250685123,2025-09-20T10:48:13.546647
