file_path,filename,preprocessing,rms,zcr,spectral_flatness,kurtosis,skewness,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP5_60sec.wav,WEBSS-007 TP5_60sec.wav,peak_normalize,0.026995048,0.013825699210421108,1.3885349e-06,2158.4396134561566,2.7777372901119404,3.2638083,0.5431588,-4.2791147,-9.173486,-13.390824,-17.932903,-21.906736,-24.669987,-26.393785,-26.928959,-28.173954,-30.84479,-32.719437,-33.601036,-34.12071,-33.1271,-30.768848,-28.917501,-30.428394,-32.75466,-34.16778,-35.708557,-37.255806,-37.623592,-39.354282,-39.887352,-40.201855,-40.80588,-40.85156,-41.151836,-42.42946,-42.273956,-41.975662,-41.634968,-44.58815,-51.216534,-51.26245,-51.263554,-51.26441,-51.26516,-51.26582,-51.266434,-51.267,-51.26754,-51.26805,-51.26854,-51.269012,-51.26946,-51.269875,-51.27008,-51.270283,-51.270473,-51.270657,-51.270832,-51.270996,-51.271156,-51.271297,-51.27144,-51.271557,-51.271667,-51.271763,-51.27184,-51.271896,-51.271935,-448.6899,132.93927,55.400448,20.71793,27.157911,28.778751,18.402868,15.795475,16.639566,7.3630147,-1.908429,1.3570633,7.160735
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP3_60sec.wav,WEBSS-007 TP3_60sec.wav,peak_normalize,0.096464776,0.015196322378065032,4.9250576e-07,2125.497026585821,4.126432048740671,15.026534,13.407212,9.471553,5.740099,1.9242359,-2.0060072,-6.0716796,-9.092221,-11.622816,-13.612479,-14.811555,-16.050356,-17.280554,-18.697357,-19.695066,-19.81132,-19.418514,-18.801722,-19.947111,-21.351694,-22.194092,-24.347975,-25.352695,-26.001492,-27.723957,-28.453598,-29.001266,-29.369165,-29.470507,-29.345083,-29.54011,-28.717054,-28.963293,-29.036573,-32.238377,-48.223106,-51.527767,-51.531033,-51.533585,-51.535793,-51.537663,-51.538864,-51.53997,-51.541016,-51.542004,-51.542942,-51.543835,-51.544422,-51.54485,-51.545273,-51.545666,-51.546055,-51.54642,-51.54677,-51.5471,-51.547417,-51.547707,-51.547974,-51.54822,-51.54844,-51.54863,-51.548782,-51.5489,-51.548973,-366.31204,199.54521,53.01545,7.10736,36.23704,34.184795,5.7297983,8.329693,22.495169,8.0111265,-8.928107,1.426447,11.5959635
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP4_60sec.wav,WEBSS-007 TP4_60sec.wav,peak_normalize,0.06217483,0.01996877706889659,5.614257e-07,2133.9507601154382,4.505214406483209,9.790083,7.958358,5.4118333,1.4590535,-1.7718517,-5.224589,-8.26036,-10.267935,-11.736914,-12.5886135,-14.13534,-16.5813,-17.967964,-19.42629,-20.286642,-20.509914,-20.436499,-20.641582,-21.104284,-23.287342,-24.367355,-25.177896,-26.030422,-27.399853,-28.336323,-29.39608,-29.92769,-30.989029,-31.508045,-31.529175,-31.117887,-32.05899,-32.564705,-33.0441,-36.607643,-44.302307,-44.823452,-44.824566,-44.825428,-44.825844,-44.82617,-44.82648,-44.826767,-44.827034,-44.827293,-44.827538,-44.827774,-44.828,-44.828217,-44.828426,-44.828625,-44.828724,-44.828724,-44.828724,-44.828724,-44.828724,-44.828724,-44.828724,-44.828724,-44.828724,-44.828724,-44.828724,-44.828724,-44.828724,-345.89197,156.65211,57.302467,14.269309,23.50916,24.123446,8.834472,6.8467183,13.072482,6.5788393,-2.6036468,1.6551851,7.6358833
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP2_60sec.wav,WEBSS-007 TP2_60sec.wav,peak_normalize,0.056100212,0.027480395872201493,3.4721681e-06,2422.3418733966882,3.810780083955224,7.6856465,6.28748,2.4095724,-0.82281333,-3.551885,-6.6684904,-9.638385,-12.845503,-14.779978,-16.787855,-17.689537,-18.584005,-19.928743,-20.913239,-21.224306,-20.06747,-18.26604,-17.52978,-17.404566,-19.102224,-21.081121,-21.254322,-21.462776,-21.634495,-20.963802,-19.972902,-19.382792,-19.21755,-20.651773,-22.416695,-23.68436,-24.812061,-25.186821,-27.19894,-32.1112,-43.124836,-43.596455,-43.59929,-43.60148,-43.602985,-43.60432,-43.605534,-43.60666,-43.6077,-43.608685,-43.609608,-43.610477,-43.61131,-43.61209,-43.61284,-43.61354,-43.614216,-43.614716,-43.61501,-43.615288,-43.615547,-43.615788,-43.616005,-43.616203,-43.61638,-43.616524,-43.616646,-43.616737,-43.616795,-315.87552,142.31393,29.741465,-0.7166569,32.560856,37.89762,9.696991,1.7886875,14.413642,11.163072,-3.5961716,-3.9389327,3.9422276
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP7_60sec.wav,WEBSS-007 TP7_60sec.wav,peak_normalize,0.10975326,0.02425893690031983,3.1969324e-07,2184.368987581623,8.511124795942164,6.2676187,4.681853,3.06292,-0.077501506,-3.7515552,-5.1580787,-7.6643767,-12.363271,-15.646198,-16.534683,-17.639458,-18.646717,-18.674946,-18.664282,-20.752329,-20.93664,-19.611895,-20.460135,-21.39728,-23.587328,-24.766666,-26.755035,-27.588133,-27.990755,-28.83159,-29.482038,-28.697628,-29.818268,-31.60326,-32.279175,-32.665905,-32.44694,-32.726704,-33.807453,-36.958332,-42.241455,-42.321785,-42.322304,-42.322712,-42.32307,-42.323387,-42.32368,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-42.323875,-330.72385,127.17636,55.145657,17.843105,18.9605,20.465784,12.138466,9.427861,11.64809,6.871583,-0.8632788,-1.4256092,1.2110358
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP1_60sec.wav,WEBSS-007 TP1_60sec.wav,peak_normalize,0.083691016,0.021815188149653518,2.557479e-07,2314.526640479244,7.627299294542911,8.958849,7.3586826,7.2606297,6.437627,4.158648,0.39403796,-3.7384238,-7.09347,-9.699652,-11.739443,-13.461002,-15.202377,-17.167927,-19.0959,-19.969162,-20.376993,-19.380264,-18.807798,-19.547617,-21.520119,-22.943998,-23.289167,-23.003862,-22.883345,-23.697954,-23.033062,-22.60253,-21.856659,-22.42203,-24.289728,-26.030184,-27.551523,-28.043839,-27.397764,-29.843563,-42.6693,-42.815605,-42.816822,-42.817764,-42.81858,-42.8193,-42.81996,-42.82057,-42.821125,-42.821396,-42.821655,-42.8219,-42.822136,-42.82236,-42.82258,-42.822784,-42.822987,-42.823174,-42.823353,-42.82353,-42.823685,-42.823837,-42.823975,-42.824097,-42.82421,-42.824306,-42.824318,-42.824318,-42.824318,-306.2822,151.25137,48.08706,13.40338,33.044453,31.081427,4.8928914,-1.4337976,9.008578,5.828593,-5.3521485,-4.402783,1.2870592
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav,peak_normalize,0.04034355,0.0148673311733742,1.0574097e-06,2151.5124876107743,4.1149537954757465,5.319823,3.4807324,-1.7472763,-7.109624,-10.616039,-14.398403,-17.592396,-19.721004,-21.236845,-21.903625,-23.038107,-24.873034,-26.088434,-27.308847,-27.922312,-27.462511,-26.211054,-26.499159,-26.594812,-29.07846,-31.017923,-31.89506,-32.753586,-33.823524,-34.49436,-34.674534,-36.32037,-37.764793,-38.553356,-39.31646,-39.646923,-39.5868,-39.648514,-39.32948,-42.0909,-47.39072,-47.44907,-47.449627,-47.45007,-47.45045,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-47.4505,-400.4018,130.07072,57.260857,19.276667,20.467289,23.265604,16.475906,13.407156,13.346245,7.5190706,1.7327211,3.4313705,5.8208017
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav,peak_normalize,0.14164414,0.0554914982842484,0.09210846,2436.70116823111,81.75959800606343,-8.463981,-3.5625534,-0.8064425,-2.7134013,-6.57072,-7.97734,-9.977763,-12.071639,-12.618736,-13.477581,-14.80693,-15.54603,-16.234976,-17.055294,-17.538473,-17.200436,-16.601364,-16.481134,-17.366865,-17.549091,-18.51299,-19.905537,-21.325619,-21.65101,-23.100677,-22.986683,-24.299515,-25.140583,-25.618547,-26.35958,-27.784273,-29.052086,-30.19243,-31.424208,-35.394814,-41.01868,-41.52297,-41.524292,-41.52529,-41.526146,-41.526806,-41.52715,-41.527462,-41.527752,-41.528027,-41.528294,-41.52854,-41.52878,-41.52901,-41.529224,-41.529434,-41.52964,-41.52983,-41.52994,-41.52994,-41.52994,-41.52994,-41.52994,-41.52994,-41.52994,-41.52994,-41.52994,-41.52994,-41.52994,-312.29065,127.410164,32.12346,-8.406929,6.7294507,16.566097,4.68079,-1.2271619,3.7062218,1.4375715,-6.408373,-5.611799,-0.009152378
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav,peak_normalize,0.16080976,0.012117755946828358,2.9104333e-06,1952.3246195778918,4.8036489913712686,18.453884,13.107039,9.569449,7.126225,2.8384347,-1.2551912,-4.0587554,-6.0468535,-7.577117,-8.3385725,-9.894478,-10.99653,-11.897845,-12.92159,-13.479823,-13.724749,-13.595432,-14.052938,-14.415696,-14.967051,-16.959148,-18.255484,-19.280598,-20.563398,-21.877436,-22.478762,-24.160551,-25.782108,-27.083742,-28.124521,-29.35562,-30.612827,-31.531403,-32.60348,-36.405487,-42.489216,-43.356434,-43.357548,-43.35841,-43.359165,-43.359833,-43.36045,-43.361023,-43.36157,-43.362087,-43.362583,-43.363056,-43.363506,-43.36395,-43.364365,-43.364765,-43.365154,-43.365524,-43.365788,-43.365955,-43.36611,-43.36626,-43.366398,-43.36652,-43.36663,-43.366722,-43.3668,-43.36686,-43.366898,-294.9675,168.71475,59.26612,6.3468003,16.424515,26.974718,16.435965,9.320073,11.758273,8.754719,2.0243335,2.8465154,6.3393106
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav,peak_normalize,0.05012101,0.08973026885660981,0.15701912,2487.371917269123,143.1797312266791,-15.38397,-12.590829,-12.509384,-13.301052,-15.159087,-17.780146,-20.184902,-21.04481,-21.10979,-21.407421,-23.004765,-24.743704,-25.13595,-25.281532,-25.130405,-24.030022,-23.277445,-22.897287,-23.875908,-24.420685,-24.353594,-25.17891,-26.851963,-27.77075,-28.597359,-28.71438,-29.084015,-29.14972,-26.960413,-28.858131,-31.229855,-32.847115,-34.27434,-34.902065,-38.08692,-43.396095,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-43.399162,-360.88516,101.04531,21.962275,-8.312908,8.389359,17.180996,5.1453013,-0.5351694,4.844149,2.9805558,-5.7266383,-6.193535,0.28662604
